,name,location,x,y,geometry
605,Stazione di ricarica per veicolo elettrico,"Via Filippo Turati, 4",9.1950698,45.4733052,POINT (9.1950698 45.4733052)
606,Enel X Stazione di Ricarica,"Via Camillo Finocchiaro Aprile, 1",9.2014476,45.477949,POINT (9.2014476 45.477949)
607,e-moving Charging Station,"Piazza Guglielmo Oberdan, 531",9.204548,45.474676,POINT (9.204548 45.474676)
608,Next Charge Charging Station,"Piazza della Repubblica, 3",9.1955048,45.4778068,POINT (9.1955048 45.4778068)
609,Stazione di ricarica per veicolo elettrico,"Via S. Giovanni alla Paglia, 15-3",9.2030019,45.4798214,POINT (9.2030019 45.4798214)
610,A2A E-moving – Fast Charge DC-AC,"Via Daniele Manin, 37",9.1982906,45.4770009,POINT (9.1982906 45.4770009)
615,A2A Stazione di Ricarica,"Via Antonio Bordoni, 16",9.19629,45.483884,POINT (9.19629 45.483884)
616,Be Charge Stazione di Ricarica,"Bastioni di Porta Nuova, 21",9.1880291,45.479946,POINT (9.1880291 45.479946)
618,A2A E-moving Stazione di Ricarica,"Via Melchiorre Gioia, 39",9.1962879,45.4857519,POINT (9.1962879 45.4857519)
619,Liikennevirta Oy (CPO) Charging Station,"Viale Luigi Sturzo, 13",9.190165,45.484114,POINT (9.190165 45.484114)
620,A2A E-moving - Isola Digitale AC,"Via Giovanni Battista Pirelli, 37",9.1957273,45.4842533,POINT (9.1957273 45.4842533)
630,Flagship Store Eni Plenitude,"Corso Buenos Aires, 3",9.2059372,45.4758945,POINT (9.2059372 45.4758945)
631,A2A E-Moving Stazione di Ricarica,"Corso Buenos Aires, 37",9.2103948,45.479881,POINT (9.2103948 45.479881)
632,Be Charge Charging Station,"Via Lodovico Zambeletti, 10",9.213407,45.476189,POINT (9.213407 45.476189)
635,Be Charge Charging Station,"Viale Abruzzi, 20a",9.21734,45.47712,POINT (9.21734 45.47712)
636,Enel X Charging Station,"Piazzale Bacone, 8",9.21502,45.4803674,POINT (9.21502 45.4803674)
639,Eni Parking,"Via Santa Rita da Cascia, 64",9.1530147,45.4385025,POINT (9.1530147 45.4385025)
648,Enel X Stazione di Ricarica,Piazza Luigi di Savoia,9.206992,45.4865375,POINT (9.206992 45.4865375)
649,Stazione di ricarica per veicolo elettrico,"Via Soperga, 22",9.2099608,45.4882279,POINT (9.2099608 45.4882279)
651,e-moving Charging Station,"Piazza Duca d'Aosta, 24",9.2049177,45.4845322,POINT (9.2049177 45.4845322)
652,Be Charge Charging Station,"Via Giovanni Battista Sammartini, 27",9.206751,45.490156,POINT (9.206751 45.490156)
653,Be Charge Charging Station,"Piazza Luigi di Savoia, 3",9.2071,45.4855,POINT (9.2071 45.4855)
654,Tesla Destination Charger,"Via Mauro Macchi, 79",9.2108004,45.4878552,POINT (9.2108004 45.4878552)
655,Be Charge Charging Station,"Viale Sondrio, 5",9.19985,45.48977,POINT (9.19985 45.48977)
659,Robert Bosch Charging Station,"Via Privata Anton Francesco Grazzini, 14",9.1607371,45.5060749,POINT (9.1607371 45.5060749)
660,Be Charge Charging Station,"Via degli Imbriani, 44",9.16672,45.5011,POINT (9.16672 45.5011)
673,Enel X Charging Station,"GTR Car Service, Via Vincenzo Monti, 28",9.0963694,45.5107017,POINT (9.0963694 45.5107017)
674,Be Charge Charging Station,"Via Vincenzo Monti, 5",9.09665,45.50869,POINT (9.09665 45.50869)
675,Eni Station,"Via Lorenteggio, 239",9.121335,45.4449948,POINT (9.121335 45.4449948)
685,e-moving Charging Station,"Piazza Leonardo da Vinci, 41",9.2263414,45.4794046,POINT (9.2263414 45.4794046)
688,Next Charge Charging Station,"Via Sangallo, 33",9.228968,45.471728,POINT (9.228968 45.471728)
692,A2A Stazione di Ricarica,"Via Giovanni Pacini, 74",9.2352027,45.4842318,POINT (9.2352027 45.4842318)
699,A2A E-Moving – Quick Charge AC,"Via Bergognone, 45",9.1645433,45.452795,POINT (9.1645433 45.452795)
700,EMOBITALY Charging Station,"Viale Carlo Troya, 18",9.154824,45.4501706,POINT (9.154824 45.4501706)
712,evway Stazione di Ricarica,"Via Giosuè Carducci, 12",9.1753056,45.4655832,POINT (9.1753056 45.4655832)
715,A2A Stazione di Ricarica,"Via Santa Valeria, 5",9.1774054,45.4633183,POINT (9.1774054 45.4633183)
718,A2A Stazione di Ricarica,Piazzale Luigi Cadorna,9.1775225,45.4675801,POINT (9.1775225 45.4675801)
719,A2A E-Moving Charging Station,"Via Metastasio, 5",9.1740402,45.4683834,POINT (9.1740402 45.4683834)
720,Enel X Charging Station,"Via Cristina Belgioioso, 171",9.0995486,45.5215073,POINT (9.0995486 45.5215073)
721,Enel X Charging Station,G492+GM8,9.1016947,45.5187488,POINT (9.1016947 45.5187488)
722,Stazione di ricarica per veicolo elettrico,Stazione di ricarica per veicoli elettrici,9.0851125,45.5185072,POINT (9.0851125 45.5185072)
725,Powy Charging Station,"Strada Statale Sempione, 28",9.085282,45.517345,POINT (9.085282 45.517345)
730,A2A Stazione di Ricarica,"Via Paolo Lomazzo, 15",9.1724124,45.4819771,POINT (9.1724124 45.4819771)
738,Eni Station,Via dei Mille,9.1120898,45.4233644,POINT (9.1120898 45.4233644)
740,Lidl Stazione di Ricarica,"Viale Lombardia, 16",9.1183522,45.4232938,POINT (9.1183522 45.4232938)
743,A2A Stazione di Ricarica,"Via Mario Idiomi, 1A",9.125607,45.4091934,POINT (9.125607 45.4091934)
752,Evway Charging Station,"Via Alberto da Giussano, 23",9.1619563,45.4698331,POINT (9.1619563 45.4698331)
756,Eni Station,"Via Giulio Cesare Procaccini, 9",9.1744656,45.4836745,POINT (9.1744656 45.4836745)
758,ENEL X Charging Station,"Via S. Marco, 30",9.189234,45.477321,POINT (9.189234 45.477321)
759,Be Charge Charging Station,"Via S. Marco, 18",9.1884377,45.4750502,POINT (9.1884377 45.4750502)
760,Next Charge Charging Station,Via Lovanio,9.186125,45.476987,POINT (9.186125 45.476987)
764,Be Charge Stazione di Ricarica,"Via Gastone Pisoni, 2",9.1932281,45.470926,POINT (9.1932281 45.470926)
776,Enel X Stazione di Ricarica,Via Adriano,9.2430011,45.5192318,POINT (9.2430011 45.5192318)
779,Enel X Stazione di Ricarica,"Via Cimitero, 6",9.2407783,45.5227281,POINT (9.2407783 45.5227281)
780,Enel X Stazione di Ricarica,"Viale Rimembranze, 93",9.241065,45.529345,POINT (9.241065 45.529345)
782,Enel X Stazione di Ricarica,"Via Fratelli di Dio, 18",9.2509221,45.5256367,POINT (9.2509221 45.5256367)
783,Eni Station,"Via Angelo Inganni, 99",9.1223951,45.4566003,POINT (9.1223951 45.4566003)
790,Electric Vehicle Charging Station,Stazione di ricarica per veicoli elettrici,9.1221184,45.4445615,POINT (9.1221184 45.4445615)
